Title,Text,Date,Link,Category
Nusron: Pak Jokowi Lebih Mengutamakan Rakyat daripada Elite Partai,Sekjen PDIP sempat melontarkan pernyataan ditinggalkan Jokowi dan keluarga. Nusron Wahid menyampaikan Jokowi lebih memilih rakyat dibanding elite partai.,"detikNewsKamis, 02 Nov 2023 08:37 WIB",https://news.detik.com/pemilu/d-7014849/nusron-pak-jokowi-lebih-mengutamakan-rakyat-daripada-elite-partai,Politik
Kenapa Banyak Buruh Thailand Jadi Korban Serangan Hamas di Israel?,"Selain puluhan yang tewas, diperkirakan masih ada puluhan buruh migran asal Thailand yang disandera Hamas di Jalur Gaza.","detikNewsKamis, 02 Nov 2023 08:33 WIB",https://news.detik.com/dw/d-7014845/kenapa-banyak-buruh-thailand-jadi-korban-serangan-hamas-di-israel,Politik
Debat Panas Panda Nababan dan Nusron Wahid soal Petugas Partai,"Politikus senior PDIP, Panda Nababan, berdebat panas dengan politikus Golkar, Nusron Wahid, soal istilah petugas partai. Bagaimana perdebatan mereka?","detikNewsKamis, 02 Nov 2023 08:29 WIB",https://news.detik.com/pemilu/d-7014841/debat-panas-panda-nababan-dan-nusron-wahid-soal-petugas-partai,Politik
"Baliho Ganjar-Mahfud Dicopot, PPP Singgung Baliho Prabowo-Gibran di Sumbar","PPP turut merespons soal baliho bakal capres-cawapres Ganjar Pranowo dan Mahfud Md yang diturunkan saat kunjungan kerja Presiden Jokowi di Gianyar, Bali.","detikNewsKamis, 02 Nov 2023 08:12 WIB",https://news.detik.com/pemilu/d-7014834/baliho-ganjar-mahfud-dicopot-ppp-singgung-baliho-prabowo-gibran-di-sumbar,Politik
Nusron soal Usulan Hak Angket MK: Masinton Nggak Paham Tata Negara,"Masinton Pasaribu usulkan hak angket terhadap MK usai putusan batas usia Capres dan Cawapres. Nusron Wahid, menyebut Masinton tak mengerti tata negara.","detikNewsKamis, 02 Nov 2023 07:55 WIB",https://news.detik.com/pemilu/d-7014823/nusron-soal-usulan-hak-angket-mk-masinton-nggak-paham-tata-negara,Politik
4 Nama Mencuat Jadi Ketua Tim Prabowo-Gibran di Sulsel: Menteri-Eks Walkot,Sejumlah nama mulai mencuat untuk menjadi calon Ketua Tim Kampanye Daerah (TKD) Prabowo Subianto-Gibran Rakamubing Raka di Sulawesi Selatan (Sulsel).,"detikSulselKamis, 02 Nov 2023 07:45 WIB",https://www.detik.com/sulsel/berita/d-7014816/4-nama-mencuat-jadi-ketua-tim-prabowo-gibran-di-sulsel-menteri-eks-walkot,Politik
"Panda Nababan Tak Terbayang Gibran Berbohong, Nusron Membela","Panda Nababan menganggap Gibran Rakabuming Raka berbohong dan tak loyal. Namun, politikus Golkar, Nusron Wahid membela Gibran.","detikNewsKamis, 02 Nov 2023 07:44 WIB",https://news.detik.com/pemilu/d-7014819/panda-nababan-tak-terbayang-gibran-berbohong-nusron-membela,Politik
Nusron Wahid: Jokowi-Prabowo Figur Contoh yang Baik Bagi Indonesia,"Nusron Wahid, bicara sosok Presiden Jokowi dan Menhan Prabowo Subianto. Dia menilai Jokowi dan Prabowo sebagai figur contoh yang baik.","detikNewsKamis, 02 Nov 2023 07:27 WIB",https://news.detik.com/pemilu/d-7014809/nusron-wahid-jokowi-prabowo-figur-contoh-yang-baik-bagi-indonesia,Politik
Johnny G Plate Dituding Pengecut Hingga Merasa Dizalimi,"Mantan Menteri Komunikasi dan Informatika (Menkominfo), Johnny G Plate membacakan pembelaannya dalam persidangan di PN Tipikor Jakarta, Rabu (1/11/2023).","detikInetKamis, 02 Nov 2023 07:21 WIB",https://inet.detik.com/cyberlife/d-7014796/johnny-g-plate-dituding-pengecut-hingga-merasa-dizalimi,Politik
Nusron Bicara Anak Sukarno-Soeharto Tak Jadi Cawapres: Tak Punya Prestasi,Politikus Partai Golkar Nusron Wahid memuji prestasi Gibran Rakabuming Raka yang menjadi cawapres Prabowo Subianto di usia 36 tahun.,"detikNewsKamis, 02 Nov 2023 06:55 WIB",https://news.detik.com/pemilu/d-7014777/nusron-bicara-anak-sukarno-soeharto-tak-jadi-cawapres-tak-punya-prestasi,Politik
"Harun Masiku Belum Tertangkap, Pukat UGM Ungkit Penangkapan Nazarudin",Pukat UGM menyoroti Harun Masiku yang sampai saat ini masih menjadi buron KPK. Dia pun mengungkit soal Nazaruddin berhasil ditangkap di Kolombia.,"detikNewsKamis, 02 Nov 2023 05:21 WIB",https://news.detik.com/berita/d-7014744/harun-masiku-belum-tertangkap-pukat-ugm-ungkit-penangkapan-nazarudin,Politik
"Johnny Plate Meluapkan Kesedihan di Pleidoi, Merasa Jadi Korban Politik","Terdakwa kasus korupsi BTS 4G dan mantan Menkominfo, Johnny G Plate, menyampaikan keresahan hatinya lewat pembacaan pleidoi. Berikut sederet pembelaan Plate","detikNewsKamis, 02 Nov 2023 04:37 WIB",https://news.detik.com/detiktv/d-7014733/johnny-plate-meluapkan-kesedihan-di-pleidoi-merasa-jadi-korban-politik,Politik
Ketua DPAC PKB di Magelang Dipecat Gegara Pasang Baliho Gibran,"PKB memecat Ketua DPAC Kecamatan Muntilan, Ambar Purwoko. Ambar dipecat karena memasang baliho mendukung Gibran.","detikNewsKamis, 02 Nov 2023 02:18 WIB",https://news.detik.com/pemilu/d-7014725/ketua-dpac-pkb-di-magelang-dipecat-gegara-pasang-baliho-gibran,Politik
"Dipercaya Simpan Ramalan, Begini Sejarah Ritual Buka Cupu Panjala Gunungkidul",Masyarakat Gunungkidul memiliki tradisi unik tahunan yakni membuka Cupu Panjala. Masyarakat meyakini hasil pembukaan cupu sebagai ramalan satu tahun ke depan.,"detikJogjaRabu, 01 Nov 2023 23:48 WIB",https://www.detik.com/jogja/budaya/d-7014661/dipercaya-simpan-ramalan-begini-sejarah-ritual-buka-cupu-panjala-gunungkidul,Politik
Mahfud Md Tanggapi Putusan MK-Wacana Hak Angket DPR Saat Diskusi di Makassar,"Menko Polhukam Mahfud Md menanggapi putusan MK soal batas usia capres-cawapres hingga wacana hak angket DPR saat berdiskusi di Kota Makassar, Sulsel.","detikSulselRabu, 01 Nov 2023 23:15 WIB",https://www.detik.com/sulsel/berita/d-7014649/mahfud-md-tanggapi-putusan-mk-wacana-hak-angket-dpr-saat-diskusi-di-makassar,Politik
"Golkar Optimis RK Bakal Menangkan Prabowo-Gibran di Jabar-DKI, Dibantu Airin","Golkar optimis Ridwan Kamil dengan dibantu Airin Rachmi Diany akan memenangkan Prabowo-Gibran di Jabar,DKI hingga Banten.","detikNewsRabu, 01 Nov 2023 22:26 WIB",https://news.detik.com/pemilu/d-7014612/golkar-optimis-rk-bakal-menangkan-prabowo-gibran-di-jabar-dki-dibantu-airin,Politik
Panda Nababan Kembali Sebut Gibran Anak Ingusan,Panda Nababan kembali menyebut Gibran Rakabuming sebagai anak ingusan. Panda mengaku tidak menyukai sikap Gibran yang menjadi cawapres dari Prabowo tanpa pamit.,"detikNewsRabu, 01 Nov 2023 22:09 WIB",https://news.detik.com/pemilu/d-7014600/panda-nababan-kembali-sebut-gibran-anak-ingusan,Politik
PAN Yakin TNI Tetap Netral di Pemilu Meski Ada Pergantian Panglima,Anggota Komisi I DPR RI Fraksi PAN Ahmad Rizki Sadig percaya TNI mampu menjaga netralitas dan profesionalitasnya selama proses demokrasi di tahun politik ini.,"detikNewsRabu, 01 Nov 2023 22:06 WIB",https://news.detik.com/pemilu/d-7014598/pan-yakin-tni-tetap-netral-di-pemilu-meski-ada-pergantian-panglima,Politik
"Apa Beda Yahudi, Israel, dan Zionis? Simak Penjelasannya Agar Tak Keliru","Ternyata Yahudi, Israel dan, Zionis memiliki arti yang berbeda. Apa perbedaan ketiganya, simak ulasannya di artikel ini.","detikSumutRabu, 01 Nov 2023 22:06 WIB",https://www.detik.com/sumut/berita/d-7013725/apa-beda-yahudi-israel-dan-zionis-simak-penjelasannya-agar-tak-keliru,Politik
Bamsoet Diangkat Jadi Dosen Pascasarjana Fakultas Keamanan Nasional UNHAN,Ketua MPR RI Bambang Soesatyo diangkat menjadi dosen tidak tetap pada Pascasarjana Program Studi Damai dan Resolusi Konflik UNHAN,"detikNewsRabu, 01 Nov 2023 22:05 WIB",https://news.detik.com/berita/d-7014595/bamsoet-diangkat-jadi-dosen-pascasarjana-fakultas-keamanan-nasional-unhan,Politik
Mentan Andi Amran Janji Segera Atasi Masalah Pangan di Papua,"""Insyaallah Papua masalah pangan kita tangani dalam waktu singkat. Itu perintah Bapak Presiden dan Bapak Wakil Presiden,"" kata Andi Amran.","detikNewsRabu, 01 Nov 2023 22:00 WIB",https://news.detik.com/berita/d-7014584/mentan-andi-amran-janji-segera-atasi-masalah-pangan-di-papua,Politik
8 Jurusan Kuliah Minim Hitungan,Ada banyak jurusan kuliah yang minim hitungan. Cocok bagi kamu yang tidak terlalu suka pelajaran hitung-hitungan.,"detikJatimRabu, 01 Nov 2023 22:00 WIB",https://www.detik.com/jatim/berita/d-7014564/8-jurusan-kuliah-minim-hitungan,Politik
Hakim MK Manahan Bantah Dilobi Anwar Usman untuk Setuju Ubah Syarat Cawapres,Hakim konsitusi Manahan Sitompul mengaku tidak dilobi oleh Ketua MK Anwar Usman untuk mengubah syarat batas usia calon presiden dan calon wakil presiden.,"detikNewsRabu, 01 Nov 2023 21:43 WIB",https://news.detik.com/pemilu/d-7014565/hakim-mk-manahan-bantah-dilobi-anwar-usman-untuk-setuju-ubah-syarat-cawapres,Politik
"Panda Nababan Kritik Keras Jokowi soal Loyalitas, Nusron Membela",Politikus PDIP Panda Nababan mengkritik keras loyalitas Presiden Joko Widodo (Jokowi) kepada partainya. Politikus Golkar Nusron Wahid pun membela Jokowi.,"detikNewsRabu, 01 Nov 2023 21:43 WIB",https://news.detik.com/pemilu/d-7014563/panda-nababan-kritik-keras-jokowi-soal-loyalitas-nusron-membela,Politik
Gagasan Ganjar soal Lingkungan hingga Pendidikan Dinilai Konkret-Solutif,"Ganjar juga menekankan pentingnya kesadaran untuk melakukan hal terkecil yaitu tidak membuang sampah sembarangan, terutama masalah sampah plastik.","detikBaliRabu, 01 Nov 2023 21:28 WIB",https://www.detik.com/bali/berita/d-7014550/gagasan-ganjar-soal-lingkungan-hingga-pendidikan-dinilai-konkret-solutif,Politik
Johnny G Plate: Apakah Saya Dituduh Koruptor Karena Alasan Politik?,Johnny G Plate sebut isi surat tuntutan penuntut umum sama dengan surat dakwaan. Ia lantas bertanya-tanya apakah ia dijadikan tersangka karena alasan politik?,"detikNewsRabu, 01 Nov 2023 21:07 WIB",https://news.detik.com/detiktv/d-7014526/johnny-g-plate-apakah-saya-dituduh-koruptor-karena-alasan-politik,Politik
"Panda Nababan: Saya Syok, Ini Bukan Jokowi yang Ku Kenal","Politkus senior PDIP Panda Nababan menyampaikan kekagetannya terhadap Presiden Joko Widodo (Jokowi). Dia merasa, Jokowi saat ini bukanlah Jokowi yang dia kenal.","detikNewsRabu, 01 Nov 2023 21:02 WIB",https://news.detik.com/pemilu/d-7014519/panda-nababan-saya-syok-ini-bukan-jokowi-yang-ku-kenal,Politik
Panda: Mahfud Jawaban Atas Kelemahan Pemerintahan Jokowi Berantas Korupsi,"Panda Nababan ungkap alasan Mahfud Md dipilih menjadi pendamping Ganjar. Menurutnya, Mahfud jadi jawaban atas kelemahan Pemerintahan Jokowi memberantas korupsi.","detikNewsRabu, 01 Nov 2023 20:43 WIB",https://news.detik.com/pemilu/d-7014479/panda-mahfud-jawaban-atas-kelemahan-pemerintahan-jokowi-berantas-korupsi,Politik
Kadiskominfo Garut Bicara Pentingnya Kontrol Media untuk Jaga Demokrasi,Ia berharap media akan tetap netral dan memberikan berita yang akurat selama proses pemilu,"detikJabarRabu, 01 Nov 2023 20:35 WIB",https://www.detik.com/jabar/berita/d-7014463/kadiskominfo-garut-bicara-pentingnya-kontrol-media-untuk-jaga-demokrasi,Politik
"Pasang Baliho Gibran, Ketua DPAC PKB Muntilan Magelang Dipecat",DPW PKB Jawa Tengah memecat Ketua Dewan Pimpinan Anak Cabang (DPAC) PKB Kecamatan Muntilan Ambar Purwoko. Pemecatan ini diduga karena Ambar mendukung Gibran.,"detikJatengRabu, 01 Nov 2023 20:22 WIB",https://www.detik.com/jateng/berita/d-7014448/pasang-baliho-gibran-ketua-dpac-pkb-muntilan-magelang-dipecat,Politik
Survei ARCI: 3 Partai Berpotensi Gusur Dominasi PDIP di Jatim,"Elektabilitas PDIP di Jatim masih unggul versi survei ARCI. Namun, dominasi PDIP di Jatim itu berpotensi digusur 3 partai politik.","detikJatimRabu, 01 Nov 2023 20:20 WIB",https://www.detik.com/jatim/berita/d-7014445/survei-arci-3-partai-berpotensi-gusur-dominasi-pdip-di-jatim,Politik
Direktur HAM PBB Mundur karena Gagal Cegah Genosida di Palestina,"Direktur Komisaris Tinggi HAM PBB, Craig Mokhiber, mundur dari jabatannya. Mokhiber mundur lantaran menganggap PBB gagal mencegah genosida di Palestina.","detikNewsRabu, 01 Nov 2023 20:13 WIB",https://news.detik.com/internasional/d-7014431/direktur-ham-pbb-mundur-karena-gagal-cegah-genosida-di-palestina,Politik
Golkar soal Masinton Usul Hak Angket MK: Bagian dari Gimik Politik,Ketua Bappilu Partai Golkar Maman Abdurahman menanggapi usulan Anggota DPR F-PDIP Masinton Pasaribu gunakan hak angket guna mengusut putusan MK.,"detikNewsRabu, 01 Nov 2023 20:09 WIB",https://news.detik.com/detiktv/d-7014419/golkar-soal-masinton-usul-hak-angket-mk-bagian-dari-gimik-politik,Politik
"PPP Pasang Baliho Mahfud di Madura, Pengamat Sebut Langkah yang Tepat","Ia menyebut hal tersebut hanyalah strategi belaka, untuk mendapatkan cocktail effect/dampak ekor jas pilpres","detikNewsRabu, 01 Nov 2023 20:01 WIB",https://news.detik.com/pemilu/d-7014408/ppp-pasang-baliho-mahfud-di-madura-pengamat-sebut-langkah-yang-tepat,Politik
KPU Palopo Kunjungi Parpol Lakukan Verifikasi Nama Surat Suara Caleg,"KPU Kota Palopo, Sulsel melakukan penyesuaian nama calon anggota legislatif caleg untuk surat suara masing-masing Sekretariat Partai Politik.","detikSulselRabu, 01 Nov 2023 19:59 WIB",https://www.detik.com/sulsel/berita/d-7014405/kpu-palopo-kunjungi-parpol-lakukan-verifikasi-nama-surat-suara-caleg,Politik
Apa Singkatan PGRI? Ini Pengertian hingga Sejarah Organisasinya,"PGRI adalah organisasi profesi guru di Indonesia. Setiap 25 November diperingati sebagai HUT PGRI atau Hari Guru Nasional. Lalu, apa singkatan PGRI?","detikNewsRabu, 01 Nov 2023 19:35 WIB",https://news.detik.com/berita/d-7014363/apa-singkatan-pgri-ini-pengertian-hingga-sejarah-organisasinya,Politik
Hakim Konstitusi soal Masinton PDIP Usul Hak Angket MK: Jangan Dibuat-buat,Hakim konstitusi Manahan Sitompul menanggapi usulan anggota DPR Fraksi PDIP Masinton Pasaribu soal hak angket terhadap Mahkamah Konstitusi (MK).,"detikNewsRabu, 01 Nov 2023 19:32 WIB",https://news.detik.com/berita/d-7014356/hakim-konstitusi-soal-masinton-pdip-usul-hak-angket-mk-jangan-dibuat-buat,Politik
Golkar Klaim Persiapkan Khofifah Perkuat TKN Prabowo-Gibran di Jatim,"""Yang pasti memang beliau sedang kita persiapkan untuk ikut membantu kita memperkuat di wilayah Jawa Timur,"" kata Maman.","detikNewsRabu, 01 Nov 2023 19:25 WIB",https://news.detik.com/pemilu/d-7014345/golkar-klaim-persiapkan-khofifah-perkuat-tkn-prabowo-gibran-di-jatim,Politik
Ini Faktor yang Membuat Prabowo-Gibran Unggul di Jatim Versi Survei ARCI,Prabowo-Gibran unggul di survei ARCI. Ini faktor yang membuat Prabowo-Gibran mengungguli paslon Ganjar-Mahfud Md dan Anies-Cak Imin.,"detikJatimRabu, 01 Nov 2023 19:14 WIB",https://www.detik.com/jatim/berita/d-7014308/ini-faktor-yang-membuat-prabowo-gibran-unggul-di-jatim-versi-survei-arci,Politik
Relawan Ganjar-Mahfud 'PINK' Serukan '2024AtikohIbuNegara',"Istri Ganjar, Siti Atiqoh dinilai sosok yang peduli dengan isu-isu perempuan, mulai dari kekerasan pada perempuan, kesenjangan gender, hingga kesehatan mental.","detikNewsRabu, 01 Nov 2023 18:37 WIB",https://news.detik.com/pemilu/d-7014242/relawan-ganjar-mahfud-pink-serukan-2024atikohibunegara,Politik
"Sunan Prapen, Penyebar Islam Selain Wali Songo yang Nyaris Terlupakan",Sunan Prapen mendapat julukan sebagai Sunan Giri ke-4 karena sering melibatkan ajaran Sunan Giri dalam dakwahnya. Belanda menjulukinya sebagai Paus Islam.,"detikJatimRabu, 01 Nov 2023 18:30 WIB",https://www.detik.com/jatim/berita/d-7014217/sunan-prapen-penyebar-islam-selain-wali-songo-yang-nyaris-terlupakan,Politik
Bos PSIS Yoyok Sukawi Nyatakan Bakal Maju Pemilihan Wali Kota Semarang,Yoyok Sukawi mengatakan saat ini sudah berkomunikasi intens dengan sejumlah partai untuk rencana pencalonan dalam pemilihan Wali kota Semarang.,"detikJatengRabu, 01 Nov 2023 18:21 WIB",https://www.detik.com/jateng/berita/d-7014222/bos-psis-yoyok-sukawi-nyatakan-bakal-maju-pemilihan-wali-kota-semarang,Politik
Gibran dan Blusukan Era Digital,Gibran Rakabuming Raka tengah menjadi sorotan lantaran menjadi calon wakil presiden dari Koalisi Indonesia Maju (KIM) untuk mendampingi Prabowo Subianto.,"detikNewsRabu, 01 Nov 2023 18:13 WIB",https://news.detik.com/kolom/d-7014203/gibran-dan-blusukan-era-digital,Politik
Nusron Wahid Persilakan PDIP Pecat Gibran: Tak Usah Dibuat Melankolis,Nusron Wahid merespons ucapan elite PDIP Komarudin Watubun bahwa akan muncul narasi Gibran Rakabuming Raka dizalimi jika mereka memecatnya.,"detikJogjaRabu, 01 Nov 2023 18:00 WIB",https://www.detik.com/jogja/berita/d-7014190/nusron-wahid-persilakan-pdip-pecat-gibran-tak-usah-dibuat-melankolis,Politik
