judul,isi,tanggal,link
Video Pria Menginjak Al-Qur’an di Klub Malam Arab Saudi				,"Lokasi kejadian bukan di Arab Saudi, tetapi Manchester (Inggris).","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-video-pria-menginjak-al-quran-di-klub-malam-arab-saudi/
Pesan WA “Minta Uang” dari Pjs Bupati Banggai Laut				,Pemda Banggai Laut menegaskan kalau nomor WA yang beredar bukan milik Pjs Bupati Banggai Laut Yuniarto Pasman.,"November 14, 2024",https://turnbackhoax.id/2024/11/14/penipuan-pesan-wa-minta-uang-dari-pjs-bupati-banggai-laut/
Informasi dari Akun Facebook “PPN Bappenas”				,Akun Facebook “PPN Bappenas” dan seluruh unggahannya merupakan konten palsu (impostor content) untuk modus penipuan.,"November 14, 2024",https://turnbackhoax.id/2024/11/14/penipuan-informasi-dari-akun-facebook-ppn-bappenas/
Calon Gubernur Jatim Tri Rismaharini Promosikan Obat Mata				,Unggahan berasal dari sejumlah potongan dokumentasi CNN Indonesia yang tak ada hubungannya dengan klaim.,"November 14, 2024",https://turnbackhoax.id/2024/11/14/penipuan-calon-gubernur-jatim-tri-rismaharini-promosikan-obat-mata/
Video “Radiasi Ponsel Bisa Merusak Otak”				,Video “radiasi ponsel dapat merusak otak yang ditandai dengan terbakarnya serat baja saat ada panggilan masuk” merupakan konten yang dimanipulasi (manipulated content).,"November 13, 2024",https://turnbackhoax.id/2024/11/13/salah-video-radiasi-ponsel-bisa-merusak-otak/
Presiden Prabowo Dukung Airin-Ade di Pilkada Banten 2024				,Konteks asli foto yang beredar merupakan momen Prabowo (capres 2014) usai menghadiri dialog antara Kadin dengan capres dan cawapres pada Juni 2014. ,"November 13, 2024",https://turnbackhoax.id/2024/11/13/salah-presiden-prabowo-dukung-airin-ade-di-pilkada-banten-2024/
Panglima Tertinggi Israel Herzi Halevi Tewas Diserang Misil Hizbullah				,Konten yang tersebar merupakan potongan dokumentasi pemakaman tentara Israel pada Juli 2023.,"November 13, 2024",https://turnbackhoax.id/2024/11/13/salah-panglima-tertinggi-israel-herzi-halevi-tewas-diserang-misil-hizbullah/
Ada Kerupuk Babi Berlabel Halal				,BPOM menekankan tidak ditemukan produk kerupuk kulit babi berlogo halal.,"November 13, 2024",https://turnbackhoax.id/2024/11/13/salah-ada-kerupuk-babi-berlabel-halal/
SBY Mau Transfer Uang Rp10 Juta untuk Warganet				,Video yang beredar adalah hasil suntingan dari potongan dokumentasi saat SBY menyampaikan pidato tahun 2014 silam.,"November 13, 2024",https://turnbackhoax.id/2024/11/13/penipuan-sby-mau-transfer-uang-rp10-juta-untuk-warganet/
Video Tumpukan Uang di Ruang Staf Khusus Eks Menkominfo Budi Arie				,Potret tumpukan uang yang ditemukan saat penggeledahan itu merupakan momen pengusutan tindak pidana atas kasus Duta Palma Group.,"November 12, 2024",https://turnbackhoax.id/2024/11/12/salah-video-tumpukan-uang-di-ruang-staf-khusus-eks-menkominfo-budi-arie/
Video Perusakan Makam di Indramayu oleh Warga Tiongkok				,"Faktanya, video yang beredar merupakan potongan dokumentasi tentang sengketa tanah di Indramayu yang berujung ke penyegelan makam.","November 12, 2024",https://turnbackhoax.id/2024/11/12/salah-video-perusakan-makam-di-indramayu-oleh-warga-tiongkok/
Cawali Makassar Nomor Urut 1 Sebut “Tuhan pun Saya Tumbangkan”				,Konten tangkapan layar yang beredar merupakan hasil suntingan.,"November 12, 2024",https://turnbackhoax.id/2024/11/12/salah-cawali-makassar-nomor-urut-1-sebut-tuhan-pun-saya-tumbangkan/
Wamen PPPA Veronica Tan Berbagi Bantuan Modal dan Biaya Sekolah				,Hasil deteksi DeepFake-O-Meter menunjukkan video yang beredar adalah hasil rekayasa kecerdasan buatan.,"November 12, 2024",https://turnbackhoax.id/2024/11/12/penipuan-wamen-pppa-veronica-tan-berbagi-bantuan-modal-dan-biaya-sekolah/
