judul,isi,tanggal,link
Peluncuran vaksin anak bangsa hingga pengetatan verifikasi faktual,ANTARA -Presiden Republik Indonesia Joko Widodo meluncurkan vaksin COVID-19 buatan anak bangsa yang bernama Indovac di ...,13 Oktober 2022,https://www.antaranews.com/video/3177121/peluncuran-vaksin-anak-bangsa-hingga-pengetatan-verifikasi-faktual
KPU Sultra perketat verfak parpol cegah potensi sengketa Pemilu,ANTARA - Komisi Pemilihan Umum Provinsi Sulawesi Tenggara (KPU Sultra) berjanji akan memperketat verifikasi faktual ...,13 Oktober 2022,https://www.antaranews.com/video/3176513/kpu-sultra-perketat-verfak-parpol-cegah-potensi-sengketa-pemilu
Bawaslu Aceh bentuk tim khusus kawal tahapan Pemilu,ANTARA - Komisi Independen Pemilihan (KIP) Aceh resmi membuka pendaftaran bagi Partai Politik (Parpol) lokal Aceh ...,2 Agustus 2022,https://www.antaranews.com/video/3034737/bawaslu-aceh-bentuk-tim-khusus-kawal-tahapan-pemilu
KPU Sultra minta partai politik siapkan administrasi,ANTARA - Seluruh partai politik calon peserta Pemilu 2024  diminta untuk menyiapkan administrasi kelengkapan dan ...,27 Juni 2022,https://www.antaranews.com/video/2964097/kpu-sultra-minta-partai-politik-siapkan-administrasi
Verifikasi DTKS untuk penyaluran bansos yang tepat sasaran,"ANTARA - Guna menjalankan penyaluran bantuan sosial yang tepat sasaran, Pemerintah Desa Rembun, Kecamatan Siwalan, ...",24 Januari 2022,https://www.antaranews.com/video/2662597/verifikasi-dtks-untuk-penyaluran-bansos-yang-tepat-sasaran
"Puluhan petugas Bawaslu Cilegon jalani ""rapid test""","ANTARA - Badan Pengawas Pemilu (Bawaslu) Kota Cilegon, Jumat (26/6), menyelenggarakan ""rapid ...",26 Juni 2020,https://www.antaranews.com/video/1575285/puluhan-petugas-bawaslu-cilegon-jalani-rapid-test
KPU Cilegon lakukan tes cepat petugas penyelenggara pilkada,"ANTARA - Jelang dilaksanakannya verifikasi faktual terhadap bukti dukungan syarat pencalonan dari jalur independen, ...",25 Juni 2020,https://www.antaranews.com/video/1574181/kpu-cilegon-lakukan-tes-cepatpetugas-penyelenggara-pilkada
Verifikasi Dan Penetapan Parpol Peserta Pemilu 2019,Ketua KPU Arief Budiman (keenam kanan) dan Ketua Bawaslu Abhan (kelima kiri) berfoto bersama sejumlah pengurus partai ...,18 Februari 2018,https://www.antaranews.com/foto/686505/verifikasi-dan-penetapan-parpol-peserta-pemilu-2019
Verifikasi Faktual PDI Perjuangan,Ketua Bidang Politik dan Keamanan DPP PDI Perjuangan nonaktif Puan Maharani (ketiga kanan) berswafoto bersama Ketua ...,29 Januari 2018,https://www.antaranews.com/foto/681512/verifikasi-faktual-pdi-perjuangan
KPU Verifikasi Faktur PKPI,Ketua Umum Partai Keadilan dan Persatuan Indonesia (PKPI) AM Hendropriyono (kedua kanan) secara simbolis menyerahkan ...,29 Januari 2018,https://www.antaranews.com/foto/681502/kpu-verifikasi-faktur-pkpi
